GEO_ID,NAME,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M
1500000US360594156002,"Block Group 2, Census Tract 4156, Nassau County, New York",945,213,945,213,945,213,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360594081006,"Block Group 6, Census Tract 4081, Nassau County, New York",1460,353,1302,326,1075,288,0,12,0,12,227,252,0,12,0,12,0,12,0,12,0,12,158,175,78,126,0,12,0,12,0,12,0,12,0,12,80,122,0,12,80,122
1500000US360594090003,"Block Group 3, Census Tract 4090, Nassau County, New York",769,226,594,180,549,172,0,12,0,12,45,62,0,12,0,12,0,12,0,12,0,12,175,152,87,78,0,12,0,12,0,12,0,12,88,137,0,12,0,12,0,12
1500000US360593031012,"Block Group 2, Census Tract 3031.01, Nassau County, New York",1166,264,1157,267,378,139,95,140,0,12,684,273,0,12,0,12,0,12,0,12,0,12,9,13,9,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360595216013,"Block Group 3, Census Tract 5216.01, Nassau County, New York",1387,298,1330,302,1320,301,0,12,0,12,0,12,0,12,0,12,10,15,0,12,10,15,57,58,57,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360594106005,"Block Group 5, Census Tract 4106, Nassau County, New York",558,355,190,153,129,116,0,12,0,12,61,99,0,12,0,12,0,12,0,12,0,12,368,323,189,195,0,12,0,12,0,12,0,12,179,233,0,12,0,12,0,12
1500000US360594169002,"Block Group 2, Census Tract 4169, Nassau County, New York",1716,336,1644,351,1630,350,0,12,0,12,7,12,0,12,0,12,7,11,0,12,7,11,72,59,72,59,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360594165001,"Block Group 1, Census Tract 4165, Nassau County, New York",651,364,451,334,15,23,175,168,0,12,222,264,0,12,0,12,39,64,39,64,0,12,200,158,68,116,0,12,0,12,0,12,0,12,132,114,0,12,0,12,0,12
1500000US360595209003,"Block Group 3, Census Tract 5209, Nassau County, New York",687,164,673,162,673,162,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,25,14,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360594138034,"Block Group 4, Census Tract 4138.03, Nassau County, New York",1340,337,941,310,368,130,471,324,0,12,88,88,0,12,14,21,0,12,0,12,0,12,399,275,46,61,120,173,0,12,0,12,0,12,184,204,49,79,49,79,0,12
1500000US360595206001,"Block Group 1, Census Tract 5206, Nassau County, New York",1126,269,1070,257,840,184,0,12,0,12,210,184,0,12,0,12,20,21,0,12,20,21,56,74,56,74,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360595195003,"Block Group 3, Census Tract 5195, Nassau County, New York",1385,337,1301,307,688,200,0,12,0,12,592,260,0,12,0,12,21,26,0,12,21,26,84,143,84,143,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360593029003,"Block Group 3, Census Tract 3029, Nassau County, New York",1017,228,964,208,756,193,0,12,0,12,208,131,0,12,0,12,0,12,0,12,0,12,53,58,53,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360595210004,"Block Group 4, Census Tract 5210, Nassau County, New York",861,238,794,233,749,224,0,12,0,12,45,65,0,12,0,12,0,12,0,12,0,12,67,79,19,21,0,12,0,12,0,12,48,75,0,12,0,12,0,12,0,12
1500000US360595203005,"Block Group 5, Census Tract 5203, Nassau County, New York",725,212,679,213,644,210,17,30,0,12,5,9,0,12,0,12,13,19,0,12,13,19,46,56,46,56,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360595180002,"Block Group 2, Census Tract 5180, Nassau County, New York",948,599,763,559,406,235,21,35,0,12,0,12,0,12,336,517,0,12,0,12,0,12,185,235,185,235,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360595197041,"Block Group 1, Census Tract 5197.04, Nassau County, New York",1118,264,1075,257,871,199,0,12,0,12,204,227,0,12,0,12,0,12,0,12,0,12,43,50,43,50,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360594101005,"Block Group 5, Census Tract 4101, Nassau County, New York",1263,364,1226,347,1111,368,44,54,0,12,39,60,0,12,0,12,32,51,0,12,32,51,37,58,37,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360594122002,"Block Group 2, Census Tract 4122, Nassau County, New York",1338,337,1096,315,1056,313,0,12,0,12,40,63,0,12,0,12,0,12,0,12,0,12,242,78,121,111,0,12,0,12,0,12,0,12,121,85,0,12,0,12,0,12
1500000US360593009002,"Block Group 2, Census Tract 3009, Nassau County, New York",1122,206,1115,210,512,218,76,84,15,18,492,171,0,12,0,12,20,33,0,12,20,33,7,12,7,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360593011012,"Block Group 2, Census Tract 3011.01, Nassau County, New York",2610,634,1770,491,1081,384,36,54,34,50,496,325,0,12,0,12,123,104,0,12,123,104,840,466,557,367,0,12,0,12,0,12,0,12,283,314,0,12,0,12,0,12
1500000US360594074022,"Block Group 2, Census Tract 4074.02, Nassau County, New York",1400,270,652,204,29,35,571,194,0,12,0,12,0,12,0,12,52,60,26,43,26,41,748,262,386,226,0,12,0,12,0,12,0,12,322,218,40,62,0,12,40,62
1500000US360595208001,"Block Group 1, Census Tract 5208, Nassau County, New York",1211,298,1001,259,982,256,0,12,0,12,19,30,0,12,0,12,0,12,0,12,0,12,210,227,53,67,0,12,0,12,0,12,0,12,157,215,0,12,0,12,0,12
