GEO_ID,NAME,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M
1500000US360050067002,"Block Group 2, Census Tract 67, Bronx County, New York",2091,918,364,347,14,22,317,348,0,12,0,12,0,12,33,55,0,12,0,12,0,12,1727,775,88,142,0,12,0,12,0,12,0,12,1639,779,0,12,0,12,0,12
1500000US360050398001,"Block Group 1, Census Tract 398, Bronx County, New York",1450,421,1192,373,12,19,1180,370,0,12,0,12,0,12,0,12,0,12,0,12,0,12,258,218,178,204,33,38,0,12,0,12,0,12,47,77,0,12,0,12,0,12
1500000US360050210016,"Block Group 6, Census Tract 210.01, Bronx County, New York",1495,399,664,263,1,3,590,271,0,12,0,12,0,12,73,76,0,12,0,12,0,12,831,392,189,201,184,162,0,12,0,12,0,12,428,295,30,49,30,49,0,12
1500000US360050393005,"Block Group 5, Census Tract 393, Bronx County, New York",690,290,161,98,70,70,73,67,0,12,18,30,0,12,0,12,0,12,0,12,0,12,529,318,0,12,0,12,0,12,47,74,0,12,482,312,0,12,0,12,0,12
1500000US360050218005,"Block Group 5, Census Tract 218, Bronx County, New York",484,271,141,117,0,12,141,117,0,12,0,12,0,12,0,12,0,12,0,12,0,12,343,242,189,148,72,122,0,12,0,12,0,12,82,130,0,12,0,12,0,12
1500000US360050135002,"Block Group 2, Census Tract 135, Bronx County, New York",1463,348,263,135,0,12,252,135,0,12,0,12,0,12,0,12,11,18,11,18,0,12,1200,354,238,183,155,143,0,12,0,12,130,205,595,288,82,106,82,106,0,12
1500000US360050204002,"Block Group 2, Census Tract 204, Bronx County, New York",1048,327,366,185,45,55,18,25,0,12,267,150,0,12,36,46,0,12,0,12,0,12,682,325,261,192,32,52,0,12,0,12,0,12,254,163,135,182,31,50,104,176
1500000US360050300001,"Block Group 1, Census Tract 300, Bronx County, New York",1289,578,405,247,160,114,32,40,0,12,182,220,0,12,0,12,31,49,0,12,31,49,884,625,256,267,24,38,0,12,0,12,0,12,604,571,0,12,0,12,0,12
1500000US360050415005,"Block Group 5, Census Tract 415, Bronx County, New York",1866,526,168,120,10,16,120,108,0,12,38,61,0,12,0,12,0,12,0,12,0,12,1698,524,33,31,28,48,0,12,0,12,0,12,1518,552,119,128,95,132,24,46
1500000US360050224041,"Block Group 1, Census Tract 224.04, Bronx County, New York",918,244,370,174,160,116,169,168,0,12,41,65,0,12,0,12,0,12,0,12,0,12,548,244,103,115,10,15,0,12,0,12,0,12,371,223,64,70,41,48,23,35
1500000US360050027011,"Block Group 1, Census Tract 27.01, Bronx County, New York",1370,299,537,210,0,12,519,192,0,12,0,12,0,12,18,28,0,12,0,12,0,12,833,238,98,63,93,108,0,12,0,12,0,12,619,235,23,24,16,26,7,12
1500000US360050225005,"Block Group 5, Census Tract 225, Bronx County, New York",811,449,11,17,0,12,11,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,800,453,163,169,0,12,0,12,0,12,0,12,637,429,0,12,0,12,0,12
