"R0.values","final.sizes.homogenous","final.sizes.suscep","final.sizes.eps0","final.sizes.eps0.4","final.sizes.eps0.7","hit.homogenous","hit.suscep","hit.eps0","hit.eps0.4","hit.eps0.7"
2,0.7968,0.6228,0.4995,0.566,0.6742,0.5001,0.365,0.2753,0.2968,0.3826
2.1,0.8221,0.6521,0.5255,0.5986,0.7086,0.5239,0.3858,0.2913,0.3164,0.4123
2.2,0.8437,0.6786,0.5496,0.6286,0.7389,0.5455,0.4053,0.3061,0.3351,0.4398
2.3,0.8624,0.7028,0.5719,0.6561,0.7656,0.5654,0.4234,0.32,0.3527,0.4654
2.4,0.8786,0.7249,0.5927,0.6813,0.7891,0.5835,0.4405,0.333,0.3698,0.4889
2.5,0.8926,0.7451,0.6121,0.7045,0.81,0.6002,0.4564,0.3454,0.3859,0.5108
2.6,0.9049,0.7636,0.6304,0.7258,0.8285,0.6154,0.4717,0.3571,0.4016,0.5311
2.7,0.9156,0.7806,0.6475,0.7454,0.845,0.6296,0.4857,0.3679,0.4164,0.5497
2.8,0.925,0.7963,0.6636,0.7634,0.8597,0.6431,0.4992,0.3783,0.4309,0.5672
2.9,0.9332,0.8107,0.6788,0.78,0.8729,0.6554,0.5121,0.3882,0.4445,0.5832
3,0.9405,0.8239,0.6932,0.7953,0.8846,0.667,0.5242,0.3977,0.4578,0.5982
3.1,0.9469,0.8362,0.7069,0.8094,0.8952,0.6778,0.536,0.4067,0.4706,0.6122
3.2,0.9526,0.8475,0.7198,0.8225,0.9047,0.6879,0.5469,0.4155,0.4828,0.6253
3.3,0.9576,0.858,0.732,0.8345,0.9132,0.6973,0.5576,0.4237,0.4948,0.6376
3.4,0.962,0.8676,0.7437,0.8457,0.9209,0.706,0.5675,0.4317,0.5061,0.6493
3.5,0.966,0.8766,0.7548,0.856,0.9279,0.7145,0.5772,0.4393,0.5171,0.6602
3.6,0.9695,0.8849,0.7653,0.8655,0.9341,0.7226,0.5863,0.4464,0.5278,0.6703
3.7,0.9726,0.8926,0.7753,0.8744,0.9398,0.7302,0.5951,0.4537,0.538,0.6798
3.8,0.9754,0.8997,0.7849,0.8826,0.945,0.7372,0.6037,0.4605,0.5479,0.6891
3.9,0.9779,0.9063,0.794,0.8902,0.9497,0.7437,0.6119,0.4671,0.5573,0.6977
4,0.9802,0.9125,0.8027,0.8973,0.954,0.7502,0.6199,0.4735,0.5667,0.7057
