"R0.values","final.sizes.homogenous","final.sizes.suscep","final.sizes.eps0","final.sizes.eps0.4","final.sizes.eps0.7","hit.homogenous","hit.suscep","hit.eps0","hit.eps0.4","hit.eps0.7"
1.25,0.323,0.2821,0.2538,0.2558,0.264,0.2,0.177,0.1611,0.1615,0.1648
1.5,0.5291,0.472,0.432,0.4431,0.4669,0.3334,0.2984,0.2731,0.2773,0.2894
1.75,0.6494,0.5867,0.5419,0.5615,0.5946,0.4286,0.3869,0.3557,0.3644,0.3848
2,0.72,0.6564,0.6097,0.636,0.674,0.5001,0.4544,0.4193,0.4326,0.4596
2.25,0.7606,0.6984,0.651,0.6822,0.7227,0.5556,0.5078,0.4701,0.4874,0.5191
2.5,0.7839,0.7244,0.6771,0.7118,0.7531,0.6,0.5511,0.5116,0.5324,0.5675
2.75,0.7998,0.7431,0.6969,0.7334,0.7742,0.6364,0.587,0.5463,0.5698,0.608
3,0.8148,0.7606,0.7163,0.7529,0.792,0.6667,0.6172,0.5758,0.6014,0.6425
3.25,0.8321,0.7796,0.7378,0.7736,0.81,0.6923,0.6432,0.6013,0.6288,0.6724
3.5,0.8514,0.8002,0.7611,0.7955,0.8292,0.7144,0.6656,0.6234,0.6527,0.6983
3.75,0.871,0.8212,0.7845,0.8177,0.8488,0.7334,0.6853,0.6429,0.6738,0.7207
4,0.8895,0.8412,0.8069,0.839,0.8678,0.75,0.7026,0.6603,0.6925,0.7405
