"R0.values","final.sizes.homogenous","final.sizes.suscep","final.sizes.eps0","final.sizes.eps0.4","final.sizes.eps0.7","hit.homogenous","hit.suscep","hit.eps0","hit.eps0.4","hit.eps0.7"
2,0.7968,0.7389,0.7008,0.7265,0.7576,0.5002,0.4544,0.4195,0.4304,0.4596
2.1,0.8221,0.7653,0.728,0.755,0.7859,0.524,0.4773,0.4409,0.4535,0.4858
2.2,0.8437,0.7884,0.752,0.78,0.8104,0.5456,0.498,0.4608,0.4747,0.5101
2.3,0.8624,0.8086,0.7734,0.8021,0.8317,0.5653,0.5172,0.4791,0.4944,0.5323
2.4,0.8786,0.8265,0.7924,0.8216,0.8503,0.5836,0.5348,0.4961,0.5125,0.5531
2.5,0.8926,0.8424,0.8095,0.8388,0.8666,0.6,0.5513,0.5117,0.5294,0.5723
2.6,0.9049,0.8565,0.8248,0.8542,0.8809,0.6157,0.5664,0.5264,0.5453,0.5903
2.7,0.9156,0.8692,0.8386,0.8679,0.8935,0.6297,0.5803,0.5399,0.5601,0.607
2.8,0.925,0.8805,0.8511,0.8801,0.9046,0.6429,0.5934,0.5527,0.574,0.6223
2.9,0.9332,0.8906,0.8624,0.8911,0.9144,0.6556,0.6057,0.5646,0.587,0.6368
3,0.9405,0.8997,0.8727,0.9009,0.9232,0.6669,0.6174,0.5759,0.599,0.6502
3.1,0.9469,0.908,0.8821,0.9097,0.9309,0.6775,0.6281,0.5865,0.6106,0.663
3.2,0.9526,0.9155,0.8907,0.9177,0.9379,0.6879,0.6386,0.5965,0.6216,0.675
3.3,0.9576,0.9223,0.8986,0.9249,0.944,0.6974,0.6483,0.6062,0.6318,0.6861
3.4,0.962,0.9284,0.9057,0.9314,0.9495,0.7061,0.6573,0.6151,0.6416,0.6967
3.5,0.966,0.934,0.9123,0.9373,0.9545,0.7146,0.6659,0.6237,0.651,0.7064
3.6,0.9695,0.9391,0.9184,0.9426,0.9589,0.7227,0.6741,0.6317,0.6598,0.7158
3.7,0.9726,0.9438,0.924,0.9474,0.9629,0.7302,0.6819,0.6394,0.6683,0.7246
3.8,0.9754,0.9481,0.9292,0.9518,0.9664,0.7373,0.6889,0.6468,0.6765,0.7331
3.9,0.9779,0.952,0.9339,0.9558,0.9697,0.744,0.6961,0.6539,0.6838,0.7411
4,0.9802,0.9556,0.9383,0.9595,0.9726,0.7504,0.7026,0.6607,0.6913,0.7483
